year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,area
2013,NTU,College Of Business (Nanyang Business School),Accountancy And Business,97.4,96.1,3701,3200,3727,3350,2900,4000,Business
2013,NTU,College Of Business (Nanyang Business School),Accountancy (3-Yr Direct Honours Programme),97.1,95.7,2850,2700,2938,2700,2700,2900,Business
2013,NTU,College Of Business (Nanyang Business School),Business (3-Yr Direct Honours Programme),90.9,85.7,3053,3000,3214,3000,2700,3500,Business
2013,NTU,College Of Business (Nanyang Business School),Business And Computing,87.5,87.5,3557,3400,3615,3400,3000,4100,Business
2013,NTU,College Of Engineering,Aerospace Engineering,95.3,95.3,3494,3500,3536,3500,3100,3816,Engineering
2013,NTU,College Of Engineering,Bioengineering,81.3,68.8,2952,2900,3166,3125,2893,3365,Engineering
2013,NTU,College Of Engineering,Chemical And Biomolecular Engineering,87.3,85.1,3235,3000,3377,3200,3000,3800,Engineering
2013,NTU,College Of Engineering,Computer Engineering,90.3,88.2,3326,3100,3374,3175,3000,3600,Computing
2013,NTU,College Of Engineering,Civil Engineering,94.8,93.8,3091,3000,3182,3100,3000,3380,Engineering
2013,NTU,College Of Engineering,Computer Science,92.1,88.5,3249,3000,3306,3125,3000,3600,Computing
2013,NTU,College Of Engineering,Electrical And Electronic Engineering,91,88.7,3133,3000,3187,3100,3000,3440,Engineering
2013,NTU,College Of Engineering,Environmental Engineering,84,81.5,3091,3000,3140,3000,3000,3300,Engineering
2013,NTU,College Of Engineering,Information Engineering And Media,85.7,79.6,3160,3150,3203,3200,2950,3400,Engineering
2013,NTU,College Of Engineering,Materials Engineering,82.5,78.9,2989,3000,3096,3000,2800,3300,Engineering
2013,NTU,College Of Engineering,Mechanical Engineering,91.6,89.5,3125,3000,3226,3100,3000,3500,Engineering
2013,NTU,College Of Engineering,Maritime Studies,95.6,93.3,3050,3000,3111,3000,2850,3200,Engineering
2013,NTU,"College Of Humanities, Arts & Social Sciences","Art, Design & Media",81.6,61.4,2639,2500,2638,2500,2300,2900,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Chinese,85.1,80.5,2818,2800,2924,3000,2600,3300,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Communication Studies,89.4,79.6,2893,2930,2956,3000,2700,3250,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Economics,89.9,83.5,3085,3000,3148,3000,2800,3545,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",English,82.7,67.3,3087,3000,3179,3100,2800,3400,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,90.6,81.3,2691,2600,2725,2625,2475,3018,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Psychology,82.4,71.8,3007,3000,3061,3000,2750,3255,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Sociology,74.4,55.8,2980,3000,3082,3100,2800,3310,Arts & Social Sciences
2013,NTU,College Of Sciences,Biomedical Sciences (Traditional Chinese Medicine) ^,90.7,88.4,2840,2800,2883,2807,2700,3000,Sciences
2013,NTU,College Of Sciences,Biological Sciences,78.6,68.1,2881,2900,3002,3000,2700,3250,Sciences
2013,NTU,College Of Sciences,Chemistry & Biological Chemistry,79.8,68.9,2993,3000,3083,3100,2800,3400,Sciences
2013,NTU,College Of Sciences,Mathematical Science,86,83.7,3169,3000,3262,3000,2750,3500,Sciences
2013,NTU,College Of Sciences,Physics / Applied Physics,80.8,69.2,3164,3000,3208,3300,2900,3400,Sciences
2013,NTU,College Of Sciences,Sports Science And Management,68.2,59.1,2968,3000,2985,3000,2700,3400,Sciences
2013,NTU,National Institute Of Education (Nie),Science (With Education),100,100,3377,3400,3478,3498,3300,3800,Education
2013,NTU,National Institute Of Education (Nie),Arts (With Education),100,100,3413,3426,3506,3498,3400,3575,Education
2013,NUS,Faculty Of Arts & Social Sciences,Bachelor Of Arts,84.8,70.1,2741,2730,2888,2800,2500,3080,Arts & Social Sciences
2013,NUS,Faculty Of Arts & Social Sciences,Bachelor Of Arts (Hons),86.6,74.6,3057,3200,3154,3200,2800,3500,Arts & Social Sciences
2013,NUS,Faculty Of Arts & Social Sciences,Bachelor Of Social Sciences,88.1,76.8,3098,3100,3210,3200,2800,3500,Arts & Social Sciences
2013,NUS,Nus Business School,Bachelor Of Business Administration,88.7,81.7,2960,2868,3062,3000,2700,3370,Business
2013,NUS,Nus Business School,Bachelor Of Business Administration (Hons),94.6,90.3,3404,3050,3512,3200,2800,3800,Business
2013,NUS,Nus Business School,Bachelor Of Business Administration (Accountancy),93.3,88.9,2740,2700,2922,2700,2700,3018,Business
2013,NUS,Nus Business School,Bachelor Of Business Administration (Accountancy) (Hons),97.2,94.4,3065,2800,3143,2800,2700,3200,Business
2013,NUS,School Of Computing,Bachelor Of Computing (Communications And Media),88.9,77.8,3350,3000,3377,3050,2825,3425,Computing
2013,NUS,School Of Computing,Bachelor Of Computing (Computer Science),92.4,83.3,3933,3400,3953,3425,3000,4000,Computing
2013,NUS,School Of Computing,Bachelor Of Computing (Electronic Commerce),88.9,83.3,3277,3050,3320,3080,2800,3553,Computing
2013,NUS,School Of Computing,Bachelor Of Computing (Information Systems),89.2,83.9,3266,3000,3322,3005,3000,3800,Computing
2013,NUS,Faculty Of Dentistry,Bachelor Of Dental Surgery,100,100,4106,4000,4106,4000,4000,4400,Dentistry
2013,NUS,School Of Design & Environment,Bachelor Of Arts (Industrial Design),82.1,53.6,3007,2650,3023,2650,2400,3000,Design & Environment
2013,NUS,School Of Design & Environment,Bachelor Of Science (Project And Facilities Management),96.8,96.8,2961,2980,3025,3000,2800,3200,Design & Environment
2013,NUS,School Of Design & Environment,Bachelor Of Science (Real Estate),89.2,89.2,2839,2800,2988,2900,2600,3179,Design & Environment
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Bioengineering),74,60,2823,3000,3068,3000,2720,3250,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Chemical Engineering),93.2,90,3245,3000,3359,3175,3000,3644,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Civil Engineering),96.1,94.1,3140,3000,3154,3050,3000,3300,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Computer Engineering),88.9,85.6,3592,3200,3653,3200,3000,3970,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Electrical Engineering),88.5,88,3286,3100,3334,3200,3000,3600,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Engineering Science),86.2,75.9,2940,3000,2960,3000,2800,3150,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Environmental Engineering),93.8,87.5,3153,3100,3208,3110,3000,3500,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Industrial And Systems Engineering),93.9,92.4,3330,3200,3397,3200,3000,3800,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Materials Science And Engineering),90.9,87.9,3036,3000,3169,3000,3000,3260,Engineering
2013,NUS,Faculty Of Engineering,Bachelor Of Engineering (Mechanical Engineering),89.1,87.2,3155,3000,3319,3225,3000,3500,Engineering
2013,NUS,Faculty Of Law,Bachelor Of Laws (Llb) (Hons) ##,98.8,98.2,4922,4800,5099,5000,4500,5800,Law
2013,NUS,Yll School Of Medicine,Bachelor Of Medicine And Bachelor Of Surgery (Mbbs) ##,100,100,4406,4500,4741,4500,4500,5200,Medicine
2013,NUS,Yll School Of Medicine,Bachelor Of Science (Nursing),97.5,97.5,2687,2750,2886,2950,2700,3050,Medicine
2013,NUS,Yll School Of Medicine,Bachelor Of Science (Nursing) (Hons),100,100,2896,3000,3042,3025,3000,3200,Medicine
2013,NUS,Faculty Of Science,Bachelor Of Applied Science (Hons),97.3,97.3,2850,2750,2925,2900,2600,3255,Sciences
2013,NUS,Faculty Of Science,Bachelor Of Science,80.9,65.1,2726,2700,2804,2800,2600,3000,Sciences
2013,NUS,Faculty Of Science,Bachelor Of Science (Hons),83.6,74,3101,3000,3217,3100,2868,3500,Sciences
2013,NUS,Faculty Of Science,Bachelor Of Science (Pharmacy) (Hons) ##,96.4,96.4,3473,3500,3540,3500,3350,3750,Sciences
2013,SMU,School Of Accountancy (4-Years Programme) *,Accountancy (4-Years Programme),94.2,93.2,3231,2800,3342,2825,2700,3430,Business
2013,SMU,School Of Accountancy (4-Years Programme) *,Accountancy (4-Years Programme) Cum Laude And Above,95.2,95.2,3580,2900,3634,3000,2700,3750,Business
2013,SMU,School Of Business (4-Years Programme) *,Business Management (4-Years Programme),93.2,87.3,3344,3000,3520,3200,2800,3750,Business
2013,SMU,School Of Business (4-Years Programme) *,Business Management (4-Years Programme) Cum Laude And Above,95.9,93.8,3825,3500,3975,3580,3000,4100,Business
2013,SMU,School Of Economics (4-Years Programme) *,Economics (4-Years Programme),90.6,88.6,3389,3200,3513,3339,3000,3800,Arts & Social Sciences
2013,SMU,School Of Economics (4-Years Programme) *,Economics (4-Years Programme) Cum Laude And Above,94,94,3731,3500,3820,3600,3250,4000,Arts & Social Sciences
2013,SMU,School Of Information Systems (4-Years Programme) *,Information Systems Management (4-Years Programme),93.6,89.5,3389,3300,3468,3300,3000,3800,Computing
2013,SMU,School Of Information Systems (4-Years Programme) *,Information Systems Management (4-Years Programme) Cum Laude And Above,100,90.9,3786,3725,3862,3800,3500,4000,Computing
2013,SMU,School Of Social Sciences (4-Years Programme) *,Social Sciences (4-Years Programme),86.5,79.8,3122,3000,3150,3000,2600,3320,Arts & Social Sciences
2013,SMU,School Of Social Sciences (4-Years Programme) *,Social Sciences (4-Years Programme) Cum Laude And Above,87.5,83.3,3251,3200,3267,3200,2800,3781,Arts & Social Sciences
2013,SMU,School Of Law (4-Years Programme) *,Law (4-Years Programme) ++,100,100,5023,4800,5246,5000,4500,6000,Law
2013,SMU,School Of Law (4-Years Programme) *,Law (4-Years Programme) Cum Laude And Above,100,100,5329,5000,5617,5547,4750,6400,Law
2014,NTU,College Of Business (Nanyang Business School),Accountancy And Business,98.2,95.6,3539,3300,3597,3300,2900,4000,Business
2014,NTU,College Of Business (Nanyang Business School),Accountancy (3-Yr Direct Honours Programme),96.6,96.1,2981,2800,3003,2840,2700,3000,Business
2014,NTU,College Of Business (Nanyang Business School),Business (3-Yr Direct Honours Programme),89.6,80.2,3231,3000,3318,3100,2800,3600,Business
2014,NTU,College Of Business (Nanyang Business School),Business And Computing,92.9,89.3,3398,3400,3431,3450,3232,4000,Business
2014,NTU,College Of Engineering,Aerospace Engineering,84.6,82.7,3715,3700,3911,3770,3300,4070,Engineering
2014,NTU,College Of Engineering,Bioengineering,79.8,69.7,2998,3000,3188,3000,2825,3400,Engineering
2014,NTU,College Of Engineering,Chemical And Biomolecular Engineering,83.8,76.1,3296,3250,3415,3400,3200,3575,Engineering
2014,NTU,College Of Engineering,Computer Engineering,91.4,88.8,3423,3300,3512,3400,3200,3800,Computing
2014,NTU,College Of Engineering,Civil Engineering,93.8,92.9,3122,3000,3152,3100,3000,3300,Engineering
2014,NTU,College Of Engineering,Computer Science,94.5,93.7,3269,3200,3304,3200,3000,3700,Computing
2014,NTU,College Of Engineering,Electrical And Electronic Engineering,90.7,88.4,3241,3175,3336,3200,3000,3500,Engineering
2014,NTU,College Of Engineering,Environmental Engineering,88.9,82.2,3121,3000,3111,3000,3000,3500,Engineering
2014,NTU,College Of Engineering,Information Engineering And Media,85.7,73.2,3185,3000,3318,3200,3000,3600,Engineering
2014,NTU,College Of Engineering,Materials Engineering,82.5,77.7,3145,3000,3261,3150,3000,3410,Engineering
2014,NTU,College Of Engineering,Mechanical Engineering,90.2,87.8,3161,3000,3289,3100,3000,3500,Engineering
2014,NTU,College Of Engineering,Maritime Studies,92.5,92.5,3163,3050,3206,3050,3000,3500,Engineering
2014,NTU,"College Of Humanities, Arts & Social Sciences","Art, Design & Media",80,68,2761,2600,2791,2700,2300,3000,Arts & Social Sciences
2014,NTU,"College Of Humanities, Arts & Social Sciences",Chinese,86.8,75.8,2927,3000,3006,3000,2700,3300,Arts & Social Sciences
2014,NTU,"College Of Humanities, Arts & Social Sciences",Communication Studies,86.7,77.9,2891,2800,2976,3000,2600,3294,Arts & Social Sciences
2014,NTU,"College Of Humanities, Arts & Social Sciences",Economics,88.7,78.4,3183,3075,3222,3200,3000,3500,Arts & Social Sciences
2014,NTU,"College Of Humanities, Arts & Social Sciences",English,87,63,3137,3000,3432,3100,2800,3990,Arts & Social Sciences
2014,NTU,"College Of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,85.7,66.7,3066,3000,3148,3230,2800,3500,Arts & Social Sciences
2014,NTU,"College Of Humanities, Arts & Social Sciences",Psychology,66.7,54.9,3197,3100,3228,3100,2800,3500,Arts & Social Sciences
2014,NTU,"College Of Humanities, Arts & Social Sciences",Sociology,73.2,67.9,3002,3000,3143,3100,2800,3260,Arts & Social Sciences
2014,NTU,College Of Sciences,Biomedical Science (Traditional Chinese Medicine) ^,100,100,2974,2900,3018,2900,2786,3400,Sciences
2014,NTU,College Of Sciences,Biological Sciences,75.1,60.8,3083,3000,3174,3000,2800,3400,Sciences
2014,NTU,College Of Sciences,Chemistry & Biological Chemistry,80.5,68.3,3006,3000,3321,3100,2800,3400,Sciences
2014,NTU,College Of Sciences,Mathematics & Economics,88.4,87,3155,3200,3142,3200,2800,3500,Sciences
2014,NTU,College Of Sciences,Mathematical Science,91.3,79.7,3022,3000,3078,3200,2800,3300,Sciences
2014,NTU,College Of Sciences,Physics / Applied Physics,73.7,63.2,3034,3000,3241,3100,2800,3560,Sciences
2014,NTU,College Of Sciences,Sports Science And Management,87.9,69.7,3076,2800,3229,3000,2700,3590,Sciences
2014,NTU,National Institute Of Education (Nie),Science (With Education),100,100,3358,3400,3475,3475,3400,3750,Education
2014,NTU,National Institute Of Education (Nie),Arts (With Education),100,100,3388,3400,3536,3475,3400,3700,Education
2014,NUS,Faculty Of Arts & Social Sciences,Bachelor Of Arts,81.9,65.3,2719,2750,2883,2800,2500,3010,Arts & Social Sciences
2014,NUS,Faculty Of Arts & Social Sciences,Bachelor Of Arts (Hons),83.1,76.6,3141,3210,3277,3300,3000,3600,Arts & Social Sciences
2014,NUS,Faculty Of Arts & Social Sciences,Bachelor Of Social Sciences,88.7,80.1,3192,3200,3304,3250,3000,3600,Arts & Social Sciences
2014,NUS,Nus Business School,Bachelor Of Business Administration,87.9,83.6,3234,3000,3367,3000,2800,3300,Business
2014,NUS,Nus Business School,Bachelor Of Business Administration (Hons),94.4,90.6,3979,3500,4090,3520,3200,4300,Business
2014,NUS,Nus Business School,Bachelor Of Business Administration (Accountancy),93.9,89.8,2836,2800,2989,2838,2700,3000,Business
2014,NUS,Nus Business School,Bachelor Of Business Administration (Accountancy) (Hons),100,96.3,3350,2850,3407,2912,2800,3614,Business
2014,NUS,School Of Computing,Bachelor Of Computing (Communications And Media),82.1,82.1,3107,3000,3129,3088,2900,3300,Computing
2014,NUS,School Of Computing,Bachelor Of Computing (Computer Science),90.6,85.9,3729,3500,3712,3500,3300,4000,Computing
2014,NUS,School Of Computing,Bachelor Of Computing (Electronic Commerce),85.7,85.7,3183,3000,3386,3200,3000,3500,Computing
2014,NUS,School Of Computing,Bachelor Of Computing (Information Systems),95.5,92,3684,3352,3789,3500,3100,4039,Computing
2014,NUS,Faculty Of Dentistry,Bachelor Of Dental Surgery,100,100,4054,4000,4054,4000,4000,4020,Dentistry
2014,NUS,School Of Design & Environment,Bachelor Of Arts (Architecture) ##,98.4,95.2,4290,4200,4400,4275,4000,4750,Design & Environment
2014,NUS,School Of Design & Environment,Bachelor Of Arts (Industrial Design),77.3,59.1,2600,2550,2603,2565,2200,3000,Design & Environment
2014,NUS,School Of Design & Environment,Bachelor Of Science (Project And Facilities Management),95.3,94.1,3089,3000,3181,3000,2900,3360,Design & Environment
2014,NUS,School Of Design & Environment,Bachelor Of Science (Real Estate),93.1,89.2,2931,2950,3108,3000,2750,3300,Design & Environment
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Biomedical Engineering) ^^,87.5,77.1,2966,3000,3058,3000,2700,3300,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Chemical Engineering),83.9,76.4,3277,3200,3434,3300,3000,3650,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Civil Engineering),97.1,97.1,3212,3200,3281,3208,3000,3500,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Computer Engineering),95.2,92.4,3674,3500,3762,3500,3200,4080,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Electrical Engineering),90.6,88.1,3306,3200,3571,3300,3000,3800,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Engineering Science),81.3,62.5,3375,3300,3465,3400,3275,3790,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Environmental Engineering),95.2,92.9,3250,3200,3215,3230,3000,3422,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Industrial And Systems Engineering),96.5,96.5,3591,3350,3719,3600,3200,4000,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Materials Science And Engineering),78.6,73.8,3054,3100,3350,3300,3000,3600,Engineering
2014,NUS,Faculty Of Engineering,Bachelor Of Engineering (Mechanical Engineering),90,88.5,3160,3100,3323,3200,3000,3500,Engineering
